FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
41,2017-10-30,Falcon 9,3500.0,GTO,Kennedy Space Center Launch Complex 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.604333,28.608389
42,2017-12-15,Falcon 9,2205.0,LEO(ISS) ,Cape Canaveral Space Force Station (SLC-40),True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,-80.57718,28.562106
43,2017-12-23,Falcon 9,9600.0,Polar LEO,Vandenberg Space Launch Complex 4,True Ocean,2,True,True,False,,,,,-120.613,34.633
44,2018-01-08,Falcon 9,0.0,LEO,Cape Canaveral Space Force Station (SLC-40),True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,-80.57718,28.562106
45,2018-01-31,Falcon 9,4230.0,GTO,Cape Canaveral Space Force Station (SLC-40),True Ocean,2,True,True,True,,,,,-80.57718,28.562106
46,2018-03-06,Falcon 9,6092.0,GTO,Cape Canaveral Space Force Station (SLC-40),None None,1,True,False,True,,,,,-80.57718,28.562106
47,2018-03-30,Falcon 9,9600.0,Polar LEO,Vandenberg Space Launch Complex 4,None None,2,True,True,True,,,,,-120.613,34.633
48,2018-04-02,Falcon 9,2647.0,LEO(ISS) ,Cape Canaveral Space Force Station (SLC-40),None None,2,True,True,True,,,,,-80.57718,28.562106
49,2018-04-18,Falcon 9,362.0,HEO,Cape Canaveral Space Force Station (SLC-40),True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
50,2018-05-11,Falcon 9,3600.0,GTO,Kennedy Space Center Launch Complex 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.604333,28.608389
51,2018-06-04,Falcon 9,5394.0,GTO,Cape Canaveral Space Force Station (SLC-40),None None,2,False,True,False,,,,,-80.57718,28.562106
52,2018-06-29,Falcon 9,2697.0,LEO(ISS) ,Cape Canaveral Space Force Station (SLC-40),None None,2,False,True,False,,,,,-80.57718,28.562106
53,2018-07-22,Falcon 9,7075.0,GTO,Cape Canaveral Space Force Station (SLC-40),True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
54,2018-07-25,Falcon 9,9600.0,Polar LEO,Vandenberg Space Launch Complex 4,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,-120.613,34.633
55,2018-08-07,Falcon 9,5800.0,GTO,Cape Canaveral Space Force Station (SLC-40),True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
56,2018-09-10,Falcon 9,7060.0,GTO,Cape Canaveral Space Force Station (SLC-40),True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
57,2018-10-08,Falcon 9,3000.0,SSO,Vandenberg Space Launch Complex 4,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,,,,-120.613,34.633
58,2018-11-15,Falcon 9,5300.0,GTO,Kennedy Space Center Launch Complex 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.604333,28.608389
59,2018-12-03,Falcon 9,4000.0,SSO,Vandenberg Space Launch Complex 4,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,,,,-120.613,34.633
60,2018-12-05,Falcon 9,2500.0,LEO(ISS) ,Cape Canaveral Space Force Station (SLC-40),False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,,,,-80.57718,28.562106
61,2018-12-23,Falcon 9,4400.0,MEO,Cape Canaveral Space Force Station (SLC-40),None None,1,False,False,False,,,,,-80.57718,28.562106
62,2019-01-11,Falcon 9,9600.0,Polar LEO,Vandenberg Space Launch Complex 4,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,,,,-120.613,34.633
63,2019-03-02,Falcon 9,12055.0,LEO,Kennedy Space Center Launch Complex 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.604333,28.608389
64,2019-05-04,Falcon 9,2495.0,LEO,Cape Canaveral Space Force Station (SLC-40),True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
65,2019-05-24,Falcon 9,13620.0,LEO,Cape Canaveral Space Force Station (SLC-40),True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
66,2019-06-12,Falcon 9,4200.0,SSO,Vandenberg Space Launch Complex 4,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,,,,-120.613,34.633
67,2019-07-25,Falcon 9,2268.0,LEO,Cape Canaveral Space Force Station (SLC-40),True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,-80.57718,28.562106
68,2019-08-06,Falcon 9,6500.0,GTO,Cape Canaveral Space Force Station (SLC-40),None None,3,False,True,False,,,,,-80.57718,28.562106
69,2019-11-11,Falcon 9,15600.0,LEO,Cape Canaveral Space Force Station (SLC-40),True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
70,2019-12-05,Falcon 9,2617.0,LEO,Cape Canaveral Space Force Station (SLC-40),True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
71,2019-12-17,Falcon 9,6956.0,GTO,Cape Canaveral Space Force Station (SLC-40),True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
72,2020-01-07,Falcon 9,15600.0,LEO,Cape Canaveral Space Force Station (SLC-40),True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
73,2020-01-19,Falcon 9,12050.0,Sub-orbital ,Kennedy Space Center Launch Complex 39A,None None,4,False,True,False,,,,,-80.604333,28.608389
74,2020-01-29,Falcon 9,15600.0,LEO,Cape Canaveral Space Force Station (SLC-40),True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
75,2020-02-17,Falcon 9,15600.0,LEO,Cape Canaveral Space Force Station (SLC-40),False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
76,2020-03-07,Falcon 9,1977.0,LEO(ISS) ,Cape Canaveral Space Force Station (SLC-40),True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,,,,-80.57718,28.562106
77,2020-03-18,Falcon 9,15600.0,LEO,Kennedy Space Center Launch Complex 39A,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.604333,28.608389
78,2020-04-22,Falcon 9,15600.0,LEO,Kennedy Space Center Launch Complex 39A,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.604333,28.608389
79,2020-05-30,Falcon 9,12530.0,LEO(ISS) ,Kennedy Space Center Launch Complex 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.604333,28.608389
80,2020-06-04,Falcon 9,15600.0,LEO,Cape Canaveral Space Force Station (SLC-40),True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,,,,-80.57718,28.562106
81,2020-06-13,Falcon 9,15410.0,LEO,Cape Canaveral Space Force Station (SLC-40),True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
82,2020-06-30,Falcon 9,4311.0,MEO,Cape Canaveral Space Force Station (SLC-40),True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,,,,-80.57718,28.562106
83,2020-07-20,Falcon 9,5000.0,GTO,Cape Canaveral Space Force Station (SLC-40),True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,,,,-80.57718,28.562106
84,2020-08-18,Falcon 9,15440.0,LEO,Cape Canaveral Space Force Station (SLC-40),True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
85,2020-08-30,Falcon 9,3130.0,SSO,Cape Canaveral Space Force Station (SLC-40),True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,,,,-80.57718,28.562106
86,2020-09-03,Falcon 9,15600.0,LEO,Kennedy Space Center Launch Complex 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.604333,28.608389
87,2020-10-06,Falcon 9,15600.0,LEO,Kennedy Space Center Launch Complex 39A,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.604333,28.608389
88,2020-10-18,Falcon 9,15600.0,LEO,Kennedy Space Center Launch Complex 39A,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,,,,-80.604333,28.608389
89,2020-10-24,Falcon 9,15600.0,LEO,Cape Canaveral Space Force Station (SLC-40),True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,,,,-80.57718,28.562106
90,2020-11-05,Falcon 9,4311.0,MEO,Cape Canaveral Space Force Station (SLC-40),True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,,,,-80.57718,28.562106
